,Country_Name,Series_Code,Series_Name
210662,Russian Federation,4.1,Reduce child mortality
211805,Rwanda,7.8,Ensure environmental sustainability
211864,Rwanda,8.16,Develop a global partnership for development: Internet Use
211999,Rwanda,4.1,Reduce child mortality
212276,Rwanda,6.1,Combat HIV/AIDS
213142,Samoa,7.8,Ensure environmental sustainability
213201,Samoa,8.16,Develop a global partnership for development: Internet Use
213336,Samoa,4.1,Reduce child mortality
214538,San Marino,8.16,Develop a global partnership for development: Internet Use
214673,San Marino,4.1,Reduce child mortality
215816,Sao Tome and Principe,7.8,Ensure environmental sustainability
215875,Sao Tome and Principe,8.16,Develop a global partnership for development: Internet Use
216010,Sao Tome and Principe,4.1,Reduce child mortality
216287,Sao Tome and Principe,6.1,Combat HIV/AIDS
217153,Saudi Arabia,7.8,Ensure environmental sustainability
217212,Saudi Arabia,8.16,Develop a global partnership for development: Internet Use
217347,Saudi Arabia,4.1,Reduce child mortality
217947,Senegal,2.1,Achieve universal primary education
218490,Senegal,7.8,Ensure environmental sustainability
218549,Senegal,8.16,Develop a global partnership for development: Internet Use
218684,Senegal,4.1,Reduce child mortality
218961,Senegal,6.1,Combat HIV/AIDS
219284,Serbia,2.1,Achieve universal primary education
219827,Serbia,7.8,Ensure environmental sustainability
219886,Serbia,8.16,Develop a global partnership for development: Internet Use
220021,Serbia,4.1,Reduce child mortality
221164,Seychelles,7.8,Ensure environmental sustainability
221223,Seychelles,8.16,Develop a global partnership for development: Internet Use
221358,Seychelles,4.1,Reduce child mortality
222501,Sierra Leone,7.8,Ensure environmental sustainability
222560,Sierra Leone,8.16,Develop a global partnership for development: Internet Use
222695,Sierra Leone,4.1,Reduce child mortality
222972,Sierra Leone,6.1,Combat HIV/AIDS
223897,Singapore,8.16,Develop a global partnership for development: Internet Use
224032,Singapore,4.1,Reduce child mortality
226571,Slovak Republic,8.16,Develop a global partnership for development: Internet Use
226706,Slovak Republic,4.1,Reduce child mortality
227306,Slovenia,2.1,Achieve universal primary education
227849,Slovenia,7.8,Ensure environmental sustainability
227908,Slovenia,8.16,Develop a global partnership for development: Internet Use
228043,Slovenia,4.1,Reduce child mortality
229186,Solomon Islands,7.8,Ensure environmental sustainability
229245,Solomon Islands,8.16,Develop a global partnership for development: Internet Use
229380,Solomon Islands,4.1,Reduce child mortality
230582,Somalia,8.16,Develop a global partnership for development: Internet Use
230717,Somalia,4.1,Reduce child mortality
230994,Somalia,6.1,Combat HIV/AIDS
231317,South Africa,2.1,Achieve universal primary education
231860,South Africa,7.8,Ensure environmental sustainability
231919,South Africa,8.16,Develop a global partnership for development: Internet Use
232054,South Africa,4.1,Reduce child mortality
232331,South Africa,6.1,Combat HIV/AIDS
233391,South Sudan,4.1,Reduce child mortality
233668,South Sudan,6.1,Combat HIV/AIDS
233991,Spain,2.1,Achieve universal primary education
234593,Spain,8.16,Develop a global partnership for development: Internet Use
234728,Spain,4.1,Reduce child mortality
235328,Sri Lanka,2.1,Achieve universal primary education
235871,Sri Lanka,7.8,Ensure environmental sustainability
235930,Sri Lanka,8.16,Develop a global partnership for development: Internet Use
236065,Sri Lanka,4.1,Reduce child mortality
236342,Sri Lanka,6.1,Combat HIV/AIDS
236665,St. Kitts and Nevis,2.1,Achieve universal primary education
237208,St. Kitts and Nevis,7.8,Ensure environmental sustainability
237267,St. Kitts and Nevis,8.16,Develop a global partnership for development: Internet Use
237402,St. Kitts and Nevis,4.1,Reduce child mortality
238002,St. Lucia,2.1,Achieve universal primary education
238545,St. Lucia,7.8,Ensure environmental sustainability
238604,St. Lucia,8.16,Develop a global partnership for development: Internet Use
238739,St. Lucia,4.1,Reduce child mortality
240676,St. Vincent and the Grenadines,2.1,Achieve universal primary education
241219,St. Vincent and the Grenadines,7.8,Ensure environmental sustainability
241278,St. Vincent and the Grenadines,8.16,Develop a global partnership for development: Internet Use
241413,St. Vincent and the Grenadines,4.1,Reduce child mortality
242556,Sudan,7.8,Ensure environmental sustainability
242750,Sudan,4.1,Reduce child mortality
243893,Suriname,7.8,Ensure environmental sustainability
243952,Suriname,8.16,Develop a global partnership for development: Internet Use
244087,Suriname,4.1,Reduce child mortality
244364,Suriname,6.1,Combat HIV/AIDS
245230,Swaziland,7.8,Ensure environmental sustainability
245289,Swaziland,8.16,Develop a global partnership for development: Internet Use
245424,Swaziland,4.1,Reduce child mortality
245701,Swaziland,6.1,Combat HIV/AIDS
246024,Sweden,2.1,Achieve universal primary education
246626,Sweden,8.16,Develop a global partnership for development: Internet Use
246761,Sweden,4.1,Reduce child mortality
247361,Switzerland,2.1,Achieve universal primary education
247963,Switzerland,8.16,Develop a global partnership for development: Internet Use
248098,Switzerland,4.1,Reduce child mortality
249241,Syrian Arab Republic,7.8,Ensure environmental sustainability
249300,Syrian Arab Republic,8.16,Develop a global partnership for development: Internet Use
249435,Syrian Arab Republic,4.1,Reduce child mortality
250035,Tajikistan,2.1,Achieve universal primary education
250578,Tajikistan,7.8,Ensure environmental sustainability
250637,Tajikistan,8.16,Develop a global partnership for development: Internet Use
250772,Tajikistan,4.1,Reduce child mortality
251049,Tajikistan,6.1,Combat HIV/AIDS
251915,Tanzania,7.8,Ensure environmental sustainability
251974,Tanzania,8.16,Develop a global partnership for development: Internet Use
252109,Tanzania,4.1,Reduce child mortality
252386,Tanzania,6.1,Combat HIV/AIDS
253252,Thailand,7.8,Ensure environmental sustainability
253311,Thailand,8.16,Develop a global partnership for development: Internet Use
253446,Thailand,4.1,Reduce child mortality
253723,Thailand,6.1,Combat HIV/AIDS
254589,Timor-Leste,7.8,Ensure environmental sustainability
254648,Timor-Leste,8.16,Develop a global partnership for development: Internet Use
254783,Timor-Leste,4.1,Reduce child mortality
255926,Togo,7.8,Ensure environmental sustainability
255985,Togo,8.16,Develop a global partnership for development: Internet Use
256120,Togo,4.1,Reduce child mortality
256397,Togo,6.1,Combat HIV/AIDS
257263,Tonga,7.8,Ensure environmental sustainability
257322,Tonga,8.16,Develop a global partnership for development: Internet Use
257457,Tonga,4.1,Reduce child mortality
258659,Trinidad and Tobago,8.16,Develop a global partnership for development: Internet Use
258794,Trinidad and Tobago,4.1,Reduce child mortality
259071,Trinidad and Tobago,6.1,Combat HIV/AIDS
259394,Tunisia,2.1,Achieve universal primary education
259937,Tunisia,7.8,Ensure environmental sustainability
259996,Tunisia,8.16,Develop a global partnership for development: Internet Use
260131,Tunisia,4.1,Reduce child mortality
260408,Tunisia,6.1,Combat HIV/AIDS
260731,Turkey,2.1,Achieve universal primary education
261274,Turkey,7.8,Ensure environmental sustainability
261333,Turkey,8.16,Develop a global partnership for development: Internet Use
261468,Turkey,4.1,Reduce child mortality
262611,Turkmenistan,7.8,Ensure environmental sustainability
262670,Turkmenistan,8.16,Develop a global partnership for development: Internet Use
262805,Turkmenistan,4.1,Reduce child mortality
265285,Tuvalu,7.8,Ensure environmental sustainability
265344,Tuvalu,8.16,Develop a global partnership for development: Internet Use
265479,Tuvalu,4.1,Reduce child mortality
266622,Uganda,7.8,Ensure environmental sustainability
266681,Uganda,8.16,Develop a global partnership for development: Internet Use
266816,Uganda,4.1,Reduce child mortality
267093,Uganda,6.1,Combat HIV/AIDS
267416,Ukraine,2.1,Achieve universal primary education
267959,Ukraine,7.8,Ensure environmental sustainability
268018,Ukraine,8.16,Develop a global partnership for development: Internet Use
268153,Ukraine,4.1,Reduce child mortality
268430,Ukraine,6.1,Combat HIV/AIDS
269296,United Arab Emirates,7.8,Ensure environmental sustainability
269355,United Arab Emirates,8.16,Develop a global partnership for development: Internet Use
269490,United Arab Emirates,4.1,Reduce child mortality
270090,United Kingdom,2.1,Achieve universal primary education
270692,United Kingdom,8.16,Develop a global partnership for development: Internet Use
270827,United Kingdom,4.1,Reduce child mortality
271427,United States,2.1,Achieve universal primary education
271970,United States,7.8,Ensure environmental sustainability
272029,United States,8.16,Develop a global partnership for development: Internet Use
272164,United States,4.1,Reduce child mortality
273307,Uruguay,7.8,Ensure environmental sustainability
273366,Uruguay,8.16,Develop a global partnership for development: Internet Use
273501,Uruguay,4.1,Reduce child mortality
273778,Uruguay,6.1,Combat HIV/AIDS
274644,Uzbekistan,7.8,Ensure environmental sustainability
274703,Uzbekistan,8.16,Develop a global partnership for development: Internet Use
274838,Uzbekistan,4.1,Reduce child mortality
275115,Uzbekistan,6.1,Combat HIV/AIDS
275981,Vanuatu,7.8,Ensure environmental sustainability
276040,Vanuatu,8.16,Develop a global partnership for development: Internet Use
276175,Vanuatu,4.1,Reduce child mortality
276775,"Venezuela, RB",2.1,Achieve universal primary education
277377,"Venezuela, RB",8.16,Develop a global partnership for development: Internet Use
277512,"Venezuela, RB",4.1,Reduce child mortality
277789,"Venezuela, RB",6.1,Combat HIV/AIDS
278655,Vietnam,7.8,Ensure environmental sustainability
278714,Vietnam,8.16,Develop a global partnership for development: Internet Use
278849,Vietnam,4.1,Reduce child mortality
279126,Vietnam,6.1,Combat HIV/AIDS
280051,Virgin Islands (U.S.),8.16,Develop a global partnership for development: Internet Use
280786,West Bank and Gaza,2.1,Achieve universal primary education
281329,West Bank and Gaza,7.8,Ensure environmental sustainability
281388,West Bank and Gaza,8.16,Develop a global partnership for development: Internet Use
281523,West Bank and Gaza,4.1,Reduce child mortality
282666,"Yemen, Rep.",7.8,Ensure environmental sustainability
282725,"Yemen, Rep.",8.16,Develop a global partnership for development: Internet Use
282860,"Yemen, Rep.",4.1,Reduce child mortality
283137,"Yemen, Rep.",6.1,Combat HIV/AIDS
283460,Zambia,2.1,Achieve universal primary education
284003,Zambia,7.8,Ensure environmental sustainability
284062,Zambia,8.16,Develop a global partnership for development: Internet Use
284197,Zambia,4.1,Reduce child mortality
284474,Zambia,6.1,Combat HIV/AIDS
285340,Zimbabwe,7.8,Ensure environmental sustainability
285399,Zimbabwe,8.16,Develop a global partnership for development: Internet Use
285534,Zimbabwe,4.1,Reduce child mortality
285811,Zimbabwe,6.1,Combat HIV/AIDS
